meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,ChangeInsulationRValueForExteriorWalls,r_value,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.3,5.3,5.3,5.3,5.3,5.3,ChangeInsulationRValueForExteriorWalls,r_value,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,3
ChangeInsulationRValueForRoofs,r_value_roof,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,ChangeInsulationRValueForRoofs,r_value_roof,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,12.6,12.6,12.6,12.6,12.6,12.6,ChangeInsulationRValueForRoofs,r_value_roof,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.6,0.6,0.6,0.6,0.6,0.6,0.59067359,0.6,0.6,0.58,0.58,0.520581734,0.520581734,0.520581734,0.520581734,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.027602984,1.027602984,1.027602984,1.027602984,1.027602984,0.720642915,0.6,0.720642915,0.720642915,0.590673592,0.590673592,0.58,0.58,0.58,0.58,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.027602984,1.027602984,1.027602984,1.027602984,1.027602984,0.720642915,0.59067359,0.720642915,0.720642915,0.590673592,0.590673592,0.520581734,0.520581734,0.520581734,0.520581734,2
ChangeUValueandSHGCOfWindows,window_shgc,0.251,0.251,0.251,0.251,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,ChangeUValueandSHGCOfWindows,window_shgc,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_shgc,0.251,0.251,0.251,0.251,0.251,0.392,0.355,0.362,0.392,0.385,0.385,0.385,0.385,0.487,0.616,2
ReplaceLightsInSpaceTypeWithLPD,lpd,16.1459,16.1459,16.1459,16.1459,16.1459,16.1459,16.1459,16.1459,16.1459,16.1459,16.1459,16.1459,16.1459,16.1459,16.1459,ReplaceLightsInSpaceTypeWithLPD,lpd,24.11116,24.11116,24.11116,24.11116,24.11116,24.11116,24.11116,24.11116,24.11116,24.11116,24.11116,24.11116,24.11116,24.11116,24.11116,ReplaceLightsInSpaceTypeWithLPD,lpd,20.12851,20.12851,20.12851,20.12851,20.12851,20.12851,20.12851,20.12851,20.12851,20.12851,20.12851,20.12851,20.12851,20.12851,20.12851,3
SetHeatingandCoolingSizingFactors,htg_sz_factor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AddOverhangsByProjectionFactor,projection_factor,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ChangeOutdoorAir,design_spec_outdoor_air_per_person,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,ChangeOutdoorAir,design_spec_outdoor_air_per_person,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,ChangeOutdoorAir,design_spec_outdoor_air_per_person,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1
ResizeExistingWindowsToMatchAGivenWWR,wwr,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,2
ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,-65.3333,-65.3333,-65.3333,-65.3333,-65.3333,-65.3333,-65.3333,-65.3333,-65.3333,-65.3333,-65.3333,-65.3333,-65.3333,-65.3333,-65.3333,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
